assemblage	easting	northing
assemblage-466-256	466	256
assemblage-762-943	762	943
assemblage-808-943	808	943
assemblage-805-964	805	964
assemblage-777-942	777	942
assemblage-775-937	775	937
assemblage-783-932	783	932
assemblage-786-950	786	950
assemblage-793-937	793	937
assemblage-840-870	840	870
assemblage-874-851	874	851
assemblage-867-863	867	863
assemblage-874-862	874	862
assemblage-866-859	866	859
assemblage-859-854	859	854
assemblage-877-870	877	870
assemblage-843-848	843	848
assemblage-369-820	369	820
assemblage-386-815	386	815
assemblage-368-841	368	841
assemblage-377-823	377	823
assemblage-371-826	371	826
assemblage-368-829	368	829
assemblage-348-821	348	821
assemblage-367-826	367	826
assemblage-912-205	912	205
assemblage-918-230	918	230
assemblage-918-207	918	207
assemblage-906-226	906	226
assemblage-906-247	906	247
assemblage-897-236	897	236
assemblage-927-210	927	210
assemblage-925-224	925	224
assemblage-725-344	725	344
assemblage-730-369	730	369
assemblage-736-358	736	358
assemblage-762-377	762	377
assemblage-747-371	747	371
assemblage-730-350	730	350
assemblage-735-364	735	364
assemblage-735-342	735	342
assemblage-533-582	533	582
assemblage-554-568	554	568
assemblage-541-582	541	582
assemblage-516-571	516	571
assemblage-540-587	540	587
assemblage-528-569	528	569
assemblage-541-590	541	590
assemblage-524-564	524	564
assemblage-815-105	815	105
assemblage-829-98	829	98
assemblage-803-103	803	103
assemblage-826-101	826	101
assemblage-818-92	818	92
assemblage-801-92	801	92
assemblage-823-94	823	94
assemblage-816-95	816	95
assemblage-734-252	734	252
assemblage-755-244	755	244
assemblage-750-265	750	265
assemblage-745-228	745	228
assemblage-755-235	755	235
assemblage-756-230	756	230
assemblage-748-241	748	241
assemblage-758-234	758	234
assemblage-395-985	395	985
assemblage-392-1005	392	1005
assemblage-411-992	411	992
assemblage-402-993	402	993
assemblage-402-995	402	995
assemblage-405-1011	405	1011
assemblage-410-1014	410	1014
assemblage-400-1003	400	1003
assemblage-506-308	506	308
assemblage-505-307	505	307
assemblage-498-329	498	329
assemblage-497-311	497	311
assemblage-500-313	500	313
assemblage-489-327	489	327
assemblage-514-309	514	309
assemblage-505-311	505	311
assemblage-789-310	789	310
assemblage-763-309	763	309
assemblage-768-310	768	310
assemblage-766-303	766	303
assemblage-755-317	755	317
assemblage-771-316	771	316
assemblage-769-313	769	313
assemblage-753-311	753	311
assemblage-207-294	207	294
assemblage-213-296	213	296
assemblage-217-302	217	302
assemblage-238-294	238	294
assemblage-202-305	202	305
assemblage-220-285	220	285
assemblage-227-302	227	302
assemblage-224-283	224	283
assemblage-145-505	145	505
assemblage-115-490	115	490
assemblage-115-478	115	478
assemblage-127-497	127	497
assemblage-107-490	107	490
assemblage-109-487	109	487
assemblage-103-500	103	500
assemblage-117-516	117	516
assemblage-607-790	607	790
assemblage-605-799	605	799
assemblage-604-798	604	798
assemblage-617-789	617	789
assemblage-618-780	618	780
assemblage-638-795	638	795
assemblage-596-807	596	807
assemblage-614-784	614	784
assemblage-648-158	648	158
assemblage-645-144	645	144
assemblage-632-142	632	142
assemblage-643-151	643	151
assemblage-617-164	617	164
assemblage-620-164	620	164
assemblage-642-157	642	157
assemblage-644-161	644	161
assemblage-395-903	395	903
assemblage-404-873	404	873
assemblage-407-904	407	904
assemblage-403-900	403	900
assemblage-405-899	405	899
assemblage-383-901	383	901
assemblage-386-886	386	886
assemblage-402-894	402	894
assemblage-1003-809	1003	809
assemblage-996-803	996	803
assemblage-988-792	988	792
assemblage-985-802	985	802
assemblage-1009-805	1009	805
assemblage-999-809	999	809
assemblage-1009-796	1009	796
assemblage-993-792	993	792
assemblage-282-184	282	184
assemblage-272-157	272	157
assemblage-285-166	285	166
assemblage-271-166	271	166
assemblage-275-182	275	182
assemblage-278-161	278	161
assemblage-259-175	259	175
assemblage-262-172	262	172
assemblage-498-742	498	742
assemblage-510-764	510	764
assemblage-509-774	509	774
assemblage-514-764	514	764
assemblage-494-764	494	764
assemblage-493-756	493	756
assemblage-516-770	516	770
assemblage-517-758	517	758
assemblage-963-868	963	868
assemblage-961-871	961	871
assemblage-958-873	958	873
assemblage-954-864	954	864
assemblage-955-872	955	872
assemblage-956-869	956	869
assemblage-963-874	963	874
assemblage-969-882	969	882
assemblage-205-814	205	814
assemblage-216-821	216	821
assemblage-204-828	204	828
assemblage-191-813	191	813
assemblage-192-834	192	834
assemblage-183-819	183	819
assemblage-212-820	212	820
assemblage-215-804	215	804
assemblage-969-450	969	450
assemblage-970-448	970	448
assemblage-945-434	945	434
assemblage-947-458	947	458
assemblage-940-453	940	453
assemblage-965-448	965	448
assemblage-937-434	937	434
assemblage-951-437	951	437
assemblage-792-426	792	426
assemblage-772-449	772	449
assemblage-782-422	782	422
assemblage-775-444	775	444
assemblage-781-432	781	432
assemblage-781-441	781	441
assemblage-773-447	773	447
assemblage-775-446	775	446
assemblage-985-738	985	738
assemblage-983-722	983	722
assemblage-979-731	979	731
assemblage-977-744	977	744
assemblage-979-729	979	729
assemblage-977-723	977	723
assemblage-1007-738	1007	738
assemblage-992-736	992	736
assemblage-630-862	630	862
assemblage-617-852	617	852
assemblage-630-843	630	843
assemblage-618-855	618	855
assemblage-634-846	634	846
assemblage-641-859	641	859
assemblage-615-860	615	860
assemblage-602-829	602	829
