assemblage	easting	northing
assemblage-127-220	127	220
assemblage-227-1057	227	1057
assemblage-30-210	30	210
assemblage-94-437	94	437
assemblage-222-958	222	958
assemblage-53-207	53	207
assemblage-33-442	33	442
assemblage-169-1060	169	1060
assemblage-46-362	46	362
assemblage-114-1027	114	1027
assemblage-154-93	154	93
assemblage-141-815	141	815
assemblage-67-416	67	416
assemblage-201-820	201	820
assemblage-55-954	55	954
assemblage-137-354	137	354
assemblage-31-771	31	771
assemblage-174-509	174	509
assemblage-126-1065	126	1065
assemblage-92-1252	92	1252
assemblage-12-855	12	855
assemblage-35-1115	35	1115
assemblage-57-1177	57	1177
assemblage-92-405	92	405
assemblage-70-740	70	740
assemblage-226-251	226	251
assemblage-166-578	166	578
assemblage-46-927	46	927
assemblage-178-575	178	575
assemblage-181-1036	181	1036
assemblage-164-706	164	706
assemblage-3-870	3	870
assemblage-178-526	178	526
assemblage-117-249	117	249
assemblage-148-77	148	77
assemblage-177-509	177	509
assemblage-53-225	53	225
assemblage-195-149	195	149
assemblage-179-1326	179	1326
assemblage-210-599	210	599
assemblage-39-626	39	626
assemblage-157-953	157	953
assemblage-22-1256	22	1256
assemblage-140-821	140	821
assemblage-96-438	96	438
assemblage-173-823	173	823
assemblage-15-947	15	947
assemblage-147-662	147	662
assemblage-103-992	103	992
assemblage-200-743	200	743
assemblage-185-812	185	812
assemblage-35-670	35	670
assemblage-91-115	91	115
assemblage-146-1036	146	1036
assemblage-79-1382	79	1382
assemblage-48-652	48	652
assemblage-49-115	49	115
assemblage-145-968	145	968
assemblage-117-227	117	227
assemblage-169-128	169	128
assemblage-3-140	3	140
assemblage-42-1325	42	1325
assemblage-40-935	40	935
assemblage-94-1332	94	1332
assemblage-142-530	142	530
assemblage-52-952	52	952
assemblage-193-351	193	351
assemblage-113-45	113	45
assemblage-166-359	166	359
assemblage-142-279	142	279
assemblage-27-619	27	619
assemblage-205-1087	205	1087
assemblage-22-749	22	749
assemblage-94-433	94	433
assemblage-135-1206	135	1206
assemblage-45-813	45	813
assemblage-10-154	10	154
assemblage-211-125	211	125
assemblage-103-647	103	647
assemblage-101-1272	101	1272
assemblage-159-695	159	695
assemblage-138-412	138	412
assemblage-61-88	61	88
assemblage-156-67	156	67
assemblage-172-1018	172	1018
assemblage-5-1246	5	1246
assemblage-44-345	44	345
assemblage-64-125	64	125
assemblage-214-982	214	982
assemblage-225-1121	225	1121
assemblage-186-579	186	579
assemblage-178-1062	178	1062
assemblage-113-915	113	915
assemblage-73-939	73	939
assemblage-67-431	67	431
assemblage-98-928	98	928
assemblage-108-376	108	376
assemblage-1-1373	1	1373
assemblage-213-1107	213	1107
assemblage-73-95	73	95
assemblage-225-1012	225	1012
assemblage-37-1224	37	1224
assemblage-69-494	69	494
assemblage-47-1246	47	1246
assemblage-140-1287	140	1287
assemblage-97-776	97	776
assemblage-184-451	184	451
assemblage-3-398	3	398
assemblage-40-368	40	368
assemblage-42-272	42	272
assemblage-23-120	23	120
assemblage-91-219	91	219
assemblage-55-1214	55	1214
assemblage-28-945	28	945
assemblage-190-913	190	913
assemblage-125-1294	125	1294
assemblage-67-181	67	181
assemblage-159-75	159	75
assemblage-49-1331	49	1331
assemblage-177-850	177	850
