assemblage	easting	northing
assemblage-12-985	12	985
assemblage-26-252	26	252
assemblage-61-97	61	97
assemblage-3-737	3	737
assemblage-169-1084	169	1084
assemblage-50-198	50	198
assemblage-204-1263	204	1263
assemblage-86-648	86	648
assemblage-142-323	142	323
assemblage-96-146	96	146
assemblage-224-854	224	854
assemblage-39-589	39	589
assemblage-45-454	45	454
assemblage-196-371	196	371
assemblage-92-515	92	515
assemblage-223-9	223	9
assemblage-41-216	41	216
assemblage-9-591	9	591
assemblage-58-678	58	678
assemblage-21-816	21	816
assemblage-82-1290	82	1290
assemblage-99-496	99	496
assemblage-212-835	212	835
assemblage-154-862	154	862
assemblage-21-1146	21	1146
assemblage-70-1180	70	1180
assemblage-42-1064	42	1064
assemblage-19-309	19	309
assemblage-87-483	87	483
assemblage-16-854	16	854
assemblage-27-1231	27	1231
assemblage-92-449	92	449
assemblage-224-751	224	751
assemblage-95-955	95	955
assemblage-206-1087	206	1087
assemblage-160-244	160	244
assemblage-198-1106	198	1106
assemblage-229-455	229	455
assemblage-95-744	95	744
assemblage-139-672	139	672
assemblage-172-478	172	478
assemblage-74-555	74	555
assemblage-22-825	22	825
assemblage-24-586	24	586
assemblage-145-942	145	942
assemblage-64-689	64	689
assemblage-23-1259	23	1259
assemblage-207-314	207	314
assemblage-148-966	148	966
assemblage-24-438	24	438
assemblage-54-1368	54	1368
assemblage-137-1165	137	1165
assemblage-109-917	109	917
assemblage-36-1278	36	1278
assemblage-61-592	61	592
assemblage-207-55	207	55
assemblage-198-1325	198	1325
assemblage-39-350	39	350
assemblage-154-407	154	407
assemblage-78-1211	78	1211
assemblage-228-1047	228	1047
assemblage-192-764	192	764
assemblage-17-525	17	525
assemblage-187-333	187	333
assemblage-17-309	17	309
assemblage-65-239	65	239
assemblage-131-1030	131	1030
assemblage-5-1278	5	1278
assemblage-99-514	99	514
assemblage-79-7	79	7
assemblage-104-1028	104	1028
assemblage-226-704	226	704
assemblage-120-1210	120	1210
assemblage-194-1270	194	1270
assemblage-180-957	180	957
assemblage-116-1323	116	1323
assemblage-168-94	168	94
assemblage-183-1065	183	1065
assemblage-53-27	53	27
assemblage-70-1061	70	1061
assemblage-68-574	68	574
assemblage-149-1234	149	1234
assemblage-64-427	64	427
assemblage-36-467	36	467
assemblage-197-87	197	87
assemblage-14-735	14	735
assemblage-26-900	26	900
assemblage-54-837	54	837
assemblage-166-1170	166	1170
assemblage-73-430	73	430
assemblage-20-883	20	883
assemblage-218-1375	218	1375
assemblage-74-119	74	119
assemblage-215-976	215	976
assemblage-229-1306	229	1306
assemblage-97-1025	97	1025
assemblage-92-927	92	927
assemblage-111-623	111	623
assemblage-222-786	222	786
assemblage-65-1290	65	1290
assemblage-120-1140	120	1140
assemblage-89-100	89	100
assemblage-82-1260	82	1260
assemblage-17-685	17	685
assemblage-40-1052	40	1052
assemblage-92-334	92	334
assemblage-215-59	215	59
assemblage-136-498	136	498
assemblage-105-1321	105	1321
assemblage-109-602	109	602
assemblage-124-873	124	873
assemblage-170-1349	170	1349
assemblage-198-802	198	802
assemblage-9-811	9	811
assemblage-170-534	170	534
assemblage-101-741	101	741
assemblage-224-216	224	216
assemblage-209-560	209	560
assemblage-189-463	189	463
assemblage-24-697	24	697
assemblage-133-754	133	754
assemblage-128-829	128	829
assemblage-9-379	9	379
assemblage-132-152	132	152
assemblage-144-1048	144	1048
assemblage-174-168	174	168
assemblage-139-746	139	746
assemblage-18-792	18	792
assemblage-67-552	67	552
assemblage-203-638	203	638
assemblage-71-138	71	138
assemblage-135-298	135	298
assemblage-153-517	153	517
assemblage-135-864	135	864
assemblage-182-1212	182	1212
assemblage-81-1335	81	1335
assemblage-179-1	179	1
assemblage-39-316	39	316
assemblage-35-605	35	605
assemblage-142-339	142	339
assemblage-58-966	58	966
assemblage-61-257	61	257
assemblage-76-512	76	512
assemblage-32-1225	32	1225
assemblage-134-1127	134	1127
assemblage-139-874	139	874
assemblage-141-1189	141	1189
assemblage-198-1360	198	1360
assemblage-88-322	88	322
assemblage-220-1039	220	1039
assemblage-134-1172	134	1172
assemblage-230-376	230	376
assemblage-144-187	144	187
assemblage-153-240	153	240
assemblage-28-638	28	638
assemblage-33-81	33	81
assemblage-191-1186	191	1186
assemblage-76-447	76	447
assemblage-19-386	19	386
assemblage-28-1244	28	1244
assemblage-26-92	26	92
assemblage-14-2	14	2
assemblage-67-463	67	463
assemblage-145-763	145	763
assemblage-140-296	140	296
assemblage-37-1270	37	1270
assemblage-178-1378	178	1378
assemblage-199-629	199	629
assemblage-39-744	39	744
assemblage-30-768	30	768
assemblage-204-968	204	968
assemblage-187-138	187	138
assemblage-185-578	185	578
assemblage-80-814	80	814
assemblage-193-1220	193	1220
assemblage-25-187	25	187
assemblage-152-102	152	102
assemblage-189-653	189	653
assemblage-56-1076	56	1076
assemblage-224-381	224	381
assemblage-131-310	131	310
assemblage-168-255	168	255
assemblage-0-171	0	171
assemblage-189-873	189	873
assemblage-36-775	36	775
assemblage-86-301	86	301
assemblage-106-1046	106	1046
assemblage-25-805	25	805
assemblage-138-1003	138	1003
assemblage-147-135	147	135
assemblage-199-887	199	887
assemblage-131-332	131	332
assemblage-78-801	78	801
assemblage-160-929	160	929
assemblage-36-348	36	348
assemblage-15-1184	15	1184
assemblage-65-1100	65	1100
assemblage-167-807	167	807
assemblage-192-549	192	549
assemblage-211-1279	211	1279
assemblage-208-637	208	637
assemblage-5-540	5	540
assemblage-188-907	188	907
assemblage-55-7	55	7
assemblage-150-574	150	574
assemblage-78-511	78	511
assemblage-223-378	223	378
assemblage-118-919	118	919
assemblage-119-1383	119	1383
assemblage-193-70	193	70
assemblage-4-1316	4	1316
assemblage-141-487	141	487
assemblage-91-1081	91	1081
assemblage-39-139	39	139
assemblage-191-163	191	163
assemblage-30-702	30	702
assemblage-198-936	198	936
assemblage-151-322	151	322
assemblage-29-1012	29	1012
assemblage-64-634	64	634
assemblage-109-992	109	992
assemblage-104-699	104	699
assemblage-159-807	159	807
assemblage-140-1313	140	1313
assemblage-128-1110	128	1110
assemblage-29-187	29	187
assemblage-46-805	46	805
