assemblage	easting	northing
assemblage-502-119	502	119
assemblage-524-131	524	131
assemblage-515-132	515	132
assemblage-526-107	526	107
assemblage-509-129	509	129
assemblage-516-120	516	120
assemblage-519-125	519	125
assemblage-351-499	351	499
assemblage-365-492	365	492
assemblage-362-487	362	487
assemblage-359-472	359	472
assemblage-350-481	350	481
assemblage-347-470	347	470
assemblage-358-487	358	487
assemblage-344-482	344	482
assemblage-669-934	669	934
assemblage-685-929	685	929
assemblage-680-942	680	942
assemblage-675-940	675	940
assemblage-685-923	685	923
assemblage-668-930	668	930
assemblage-678-943	678	943
assemblage-665-923	665	923
assemblage-249-343	249	343
assemblage-252-346	252	346
assemblage-261-342	261	342
assemblage-238-351	238	351
assemblage-243-323	243	323
assemblage-248-353	248	353
assemblage-264-360	264	360
assemblage-264-339	264	339
assemblage-387-847	387	847
assemblage-412-842	412	842
assemblage-412-860	412	860
assemblage-421-842	421	842
assemblage-420-841	420	841
assemblage-412-850	412	850
assemblage-403-849	403	849
assemblage-399-852	399	852
assemblage-224-673	224	673
assemblage-228-644	228	644
assemblage-262-660	262	660
assemblage-223-654	223	654
assemblage-217-641	217	641
assemblage-224-659	224	659
assemblage-262-640	262	640
assemblage-246-669	246	669
assemblage-608-762	608	762
assemblage-607-773	607	773
assemblage-621-771	621	771
assemblage-604-772	604	772
assemblage-613-755	613	755
assemblage-608-767	608	767
assemblage-612-775	612	775
assemblage-610-770	610	770
assemblage-218-797	218	797
assemblage-243-797	243	797
assemblage-211-786	211	786
assemblage-223-771	223	771
assemblage-213-781	213	781
assemblage-227-792	227	792
assemblage-224-778	224	778
assemblage-226-782	226	782
assemblage-331-188	331	188
assemblage-358-189	358	189
assemblage-340-180	340	180
assemblage-341-187	341	187
assemblage-348-188	348	188
assemblage-331-183	331	183
assemblage-344-184	344	184
assemblage-336-184	336	184
assemblage-385-320	385	320
assemblage-395-318	395	318
assemblage-367-320	367	320
assemblage-385-319	385	319
assemblage-393-321	393	321
assemblage-393-312	393	312
assemblage-393-317	393	317
assemblage-405-318	405	318
assemblage-236-112	236	112
assemblage-262-106	262	106
assemblage-247-99	247	99
assemblage-254-112	254	112
assemblage-238-92	238	92
assemblage-235-123	235	123
assemblage-240-109	240	109
assemblage-262-104	262	104
assemblage-575-462	575	462
assemblage-566-457	566	457
assemblage-571-457	571	457
assemblage-576-485	576	485
assemblage-583-465	583	465
assemblage-564-470	564	470
assemblage-578-483	578	483
assemblage-559-476	559	476
assemblage-214-177	214	177
assemblage-211-180	211	180
assemblage-243-162	243	162
assemblage-230-174	230	174
assemblage-247-170	247	170
assemblage-233-168	233	168
assemblage-234-166	234	166
assemblage-212-161	212	161
