assemblage	easting	northing
assemblage-782-467	782	467
assemblage-790-466	790	466
assemblage-809-471	809	471
assemblage-784-478	784	478
assemblage-790-480	790	480
assemblage-774-471	774	471
assemblage-793-461	793	461
assemblage-277-528	277	528
assemblage-280-565	280	565
assemblage-295-545	295	545
assemblage-299-556	299	556
assemblage-292-549	292	549
assemblage-319-550	319	550
assemblage-281-541	281	541
assemblage-291-540	291	540
assemblage-637-842	637	842
assemblage-667-848	667	848
assemblage-628-854	628	854
assemblage-642-861	642	861
assemblage-635-856	635	856
assemblage-638-844	638	844
assemblage-630-846	630	846
assemblage-646-853	646	853
assemblage-900-267	900	267
assemblage-911-277	911	277
assemblage-894-247	894	247
assemblage-912-277	912	277
assemblage-925-280	925	280
assemblage-924-289	924	289
assemblage-904-260	904	260
assemblage-891-274	891	274
assemblage-820-982	820	982
assemblage-806-986	806	986
assemblage-787-982	787	982
assemblage-799-965	799	965
assemblage-809-982	809	982
assemblage-793-991	793	991
assemblage-804-979	804	979
assemblage-815-972	815	972
assemblage-341-212	341	212
assemblage-333-235	333	235
assemblage-340-239	340	239
assemblage-352-230	352	230
assemblage-336-223	336	223
assemblage-344-220	344	220
assemblage-343-236	343	236
assemblage-325-227	325	227
assemblage-988-353	988	353
assemblage-988-336	988	336
assemblage-980-351	980	351
assemblage-985-351	985	351
assemblage-991-355	991	355
assemblage-990-345	990	345
assemblage-977-352	977	352
assemblage-1000-339	1000	339
assemblage-711-905	711	905
assemblage-687-910	687	910
assemblage-713-915	713	915
assemblage-712-891	712	891
assemblage-702-912	702	912
assemblage-720-910	720	910
assemblage-713-902	713	902
assemblage-713-907	713	907
assemblage-263-346	263	346
assemblage-267-347	267	347
assemblage-254-348	254	348
assemblage-256-346	256	346
assemblage-259-333	259	333
assemblage-261-343	261	343
assemblage-260-332	260	332
assemblage-254-333	254	333
assemblage-594-237	594	237
assemblage-599-228	599	228
assemblage-606-238	606	238
assemblage-599-246	599	246
assemblage-605-243	605	243
assemblage-594-250	594	250
assemblage-607-238	607	238
assemblage-594-235	594	235
assemblage-370-312	370	312
assemblage-356-329	356	329
assemblage-349-339	349	339
assemblage-353-336	353	336
assemblage-357-334	357	334
assemblage-328-328	328	328
assemblage-344-340	344	340
assemblage-340-344	340	344
assemblage-302-569	302	569
assemblage-298-582	298	582
assemblage-288-575	288	575
assemblage-292-563	292	563
assemblage-296-570	296	570
assemblage-299-553	299	553
assemblage-308-566	308	566
assemblage-298-562	298	562
assemblage-406-358	406	358
assemblage-412-358	412	358
assemblage-398-355	398	355
assemblage-396-352	396	352
assemblage-391-369	391	369
assemblage-405-331	405	331
assemblage-414-339	414	339
assemblage-411-344	411	344
assemblage-689-477	689	477
assemblage-710-473	710	473
assemblage-688-487	688	487
assemblage-709-471	709	471
assemblage-692-481	692	481
assemblage-699-475	699	475
assemblage-684-472	684	472
assemblage-708-462	708	462
assemblage-604-218	604	218
assemblage-609-214	609	214
assemblage-610-223	610	223
assemblage-602-233	602	233
assemblage-615-216	615	216
assemblage-611-217	611	217
assemblage-585-209	585	209
assemblage-612-218	612	218
assemblage-176-599	176	599
assemblage-167-585	167	585
assemblage-190-596	190	596
assemblage-183-592	183	592
assemblage-178-601	178	601
assemblage-171-608	171	608
assemblage-154-592	154	592
assemblage-185-590	185	590
assemblage-673-388	673	388
assemblage-672-407	672	407
assemblage-667-407	667	407
assemblage-673-417	673	417
assemblage-670-392	670	392
assemblage-679-391	679	391
assemblage-666-410	666	410
assemblage-663-393	663	393
assemblage-535-559	535	559
assemblage-518-548	518	548
assemblage-520-558	520	558
assemblage-532-565	532	565
assemblage-524-544	524	544
assemblage-526-569	526	569
assemblage-510-572	510	572
assemblage-520-549	520	549
assemblage-160-948	160	948
assemblage-165-927	165	927
assemblage-152-958	152	958
assemblage-164-933	164	933
assemblage-164-945	164	945
assemblage-168-953	168	953
assemblage-172-952	172	952
assemblage-181-932	181	932
assemblage-689-249	689	249
assemblage-675-257	675	257
assemblage-664-252	664	252
assemblage-690-252	690	252
assemblage-687-249	687	249
assemblage-681-262	681	262
assemblage-692-253	692	253
assemblage-694-256	694	256
assemblage-358-786	358	786
assemblage-352-801	352	801
assemblage-371-813	371	813
assemblage-363-786	363	786
assemblage-371-808	371	808
assemblage-358-789	358	789
assemblage-356-798	356	798
assemblage-371-811	371	811
