assemblage	easting	northing
assemblage-661-958	661	958
assemblage-672-954	672	954
assemblage-667-963	667	963
assemblage-661-956	661	956
assemblage-671-963	671	963
assemblage-658-957	658	957
assemblage-990-752	990	752
assemblage-975-756	975	756
assemblage-983-757	983	757
assemblage-978-756	978	756
assemblage-1000-776	1000	776
assemblage-984-775	984	775
assemblage-987-763	987	763
assemblage-986-762	986	762
assemblage-176-112	176	112
assemblage-174-110	174	110
assemblage-171-84	171	84
assemblage-176-91	176	91
assemblage-163-101	163	101
assemblage-177-111	177	111
assemblage-181-106	181	106
assemblage-156-102	156	102
assemblage-775-939	775	939
assemblage-781-955	781	955
assemblage-760-951	760	951
assemblage-779-935	779	935
assemblage-787-946	787	946
assemblage-771-953	771	953
assemblage-774-931	774	931
assemblage-777-950	777	950
assemblage-249-243	249	243
assemblage-243-239	243	239
assemblage-243-235	243	235
assemblage-245-235	245	235
assemblage-255-237	255	237
assemblage-262-234	262	234
assemblage-239-219	239	219
assemblage-254-259	254	259
assemblage-829-151	829	151
assemblage-831-161	831	161
assemblage-818-149	818	149
assemblage-828-162	828	162
assemblage-816-142	816	142
assemblage-806-153	806	153
assemblage-824-163	824	163
assemblage-830-129	830	129
assemblage-902-848	902	848
assemblage-908-840	908	840
assemblage-896-831	896	831
assemblage-901-846	901	846
assemblage-905-827	905	827
assemblage-905-835	905	835
assemblage-885-841	885	841
assemblage-906-831	906	831
assemblage-522-210	522	210
assemblage-505-214	505	214
assemblage-532-222	532	222
assemblage-503-216	503	216
assemblage-494-231	494	231
assemblage-492-215	492	215
assemblage-510-208	510	208
assemblage-504-227	504	227
assemblage-901-928	901	928
assemblage-897-916	897	916
assemblage-894-922	894	922
assemblage-905-929	905	929
assemblage-885-931	885	931
assemblage-876-927	876	927
assemblage-899-926	899	926
assemblage-902-934	902	934
assemblage-130-147	130	147
assemblage-124-179	124	179
assemblage-116-151	116	151
assemblage-141-138	141	138
assemblage-131-161	131	161
assemblage-134-140	134	140
assemblage-131-138	131	138
assemblage-125-165	125	165
assemblage-711-781	711	781
assemblage-711-782	711	782
assemblage-706-788	706	788
assemblage-698-780	698	780
assemblage-692-760	692	760
assemblage-699-763	699	763
assemblage-703-781	703	781
assemblage-698-797	698	797
assemblage-874-113	874	113
assemblage-859-100	859	100
assemblage-866-109	866	109
assemblage-871-116	871	116
assemblage-864-95	864	95
assemblage-858-122	858	122
assemblage-866-95	866	95
assemblage-855-123	855	123
assemblage-752-974	752	974
assemblage-771-946	771	946
assemblage-752-988	752	988
assemblage-766-990	766	990
assemblage-768-990	768	990
assemblage-747-973	747	973
assemblage-777-970	777	970
assemblage-776-962	776	962
assemblage-918-961	918	961
assemblage-924-941	924	941
assemblage-928-943	928	943
assemblage-902-948	902	948
assemblage-920-952	920	952
assemblage-923-961	923	961
assemblage-929-942	929	942
assemblage-922-961	922	961
assemblage-627-775	627	775
assemblage-601-779	601	779
assemblage-585-782	585	782
assemblage-595-776	595	776
assemblage-602-776	602	776
assemblage-604-759	604	759
assemblage-595-777	595	777
assemblage-603-766	603	766
assemblage-756-597	756	597
assemblage-746-583	746	583
assemblage-754-596	754	596
assemblage-745-591	745	591
assemblage-765-587	765	587
assemblage-751-589	751	589
assemblage-767-570	767	570
assemblage-763-598	763	598
assemblage-530-360	530	360
assemblage-515-363	515	363
assemblage-497-349	497	349
assemblage-505-367	505	367
assemblage-488-381	488	381
assemblage-492-366	492	366
assemblage-502-373	502	373
assemblage-497-361	497	361
assemblage-951-379	951	379
assemblage-947-379	947	379
assemblage-943-371	943	371
assemblage-927-390	927	390
assemblage-946-393	946	393
assemblage-948-371	948	371
assemblage-951-364	951	364
assemblage-945-378	945	378
assemblage-920-795	920	795
assemblage-941-790	941	790
assemblage-928-796	928	796
assemblage-942-784	942	784
assemblage-944-801	944	801
assemblage-939-810	939	810
assemblage-937-805	937	805
assemblage-937-796	937	796
assemblage-739-314	739	314
assemblage-719-315	719	315
assemblage-746-290	746	290
assemblage-727-310	727	310
assemblage-752-302	752	302
assemblage-731-315	731	315
assemblage-753-307	753	307
assemblage-718-296	718	296
assemblage-564-224	564	224
assemblage-572-227	572	227
assemblage-582-219	582	219
assemblage-570-232	570	232
assemblage-564-226	564	226
assemblage-572-224	572	224
assemblage-573-213	573	213
assemblage-567-217	567	217
assemblage-116-774	116	774
assemblage-106-789	106	789
assemblage-97-795	97	795
assemblage-89-798	89	798
assemblage-93-772	93	772
assemblage-103-772	103	772
assemblage-114-780	114	780
assemblage-124-770	124	770
assemblage-964-125	964	125
assemblage-939-116	939	116
assemblage-956-115	956	115
assemblage-961-129	961	129
assemblage-969-101	969	101
assemblage-968-117	968	117
assemblage-935-118	935	118
assemblage-969-107	969	107
assemblage-844-834	844	834
assemblage-842-827	842	827
assemblage-859-809	859	809
assemblage-843-805	843	805
assemblage-831-823	831	823
assemblage-855-815	855	815
assemblage-843-802	843	802
assemblage-847-825	847	825
assemblage-280-849	280	849
assemblage-297-854	297	854
assemblage-289-864	289	864
assemblage-292-849	292	849
assemblage-300-862	300	862
assemblage-271-845	271	845
assemblage-287-849	287	849
assemblage-297-850	297	850
assemblage-637-432	637	432
assemblage-607-434	607	434
assemblage-632-438	632	438
assemblage-618-424	618	424
assemblage-615-421	615	421
assemblage-628-437	628	437
assemblage-612-439	612	439
assemblage-617-440	617	440
assemblage-527-780	527	780
assemblage-507-779	507	779
assemblage-532-763	532	763
assemblage-538-778	538	778
assemblage-521-793	521	793
assemblage-523-779	523	779
assemblage-522-758	522	758
assemblage-541-768	541	768
